sentence,pattern_name,pillar,claim_type,description,matched_text,strength_score,has_verification,temporal,company_index,company_name
"It operates through Integrated Resources Management, Mining Services, Commercial Mining, New Energy Ecosystem, Airport, Road, and Others segments.",biodiversity,Environmental,performance,Biodiversity or ecosystem claim,ecosystem,0.0,False,unspecified,0,ADANI ENTERPRISES LTD.
"It offers integrated coal management services; imports apples, pears, kiwis, oranges, grapes, and other fruits; markets fruits under the FARM-PIK brand; generates solar and wind energy; and manufactures solar panels.",renewable_energy,Environmental,performance,Claim about renewable energy usage,solar and wind energy,0.0,False,unspecified,0,ADANI ENTERPRISES LTD.
"In addition, it offers edible oils, rice, pulses, besan, and wheat flour, as well as specialty fats, and oleo chemicals under the Fortune, King's, Bullet, Raag, Avsar, Pilaf, Jubilee, Fryola, Alpha, and Aadhar brands; and manufactures polyvinyl chloride, caustic soda, tar, hydrated lime, etc. Further, the company manufactures fighter aircraft, unmanned aerial systems, helicopters, submarines, air defense guns, and missiles and small arms; develops avionics and systems, opto-electronics, aero structures and components, aerospace composites, and radar and electronic warfare systems, as well as constructs national highways, motorways, tunnels, metro-rail, railways, etc. Additionally, it engages in the sewage and wastewater treatment, recycle, and reuse business; and operates, manage, and develops airports; and develops and operates data centers.",waste_management,Environmental,performance,Waste management or recycling claim,recycle,0.15,False,unspecified,0,ADANI ENTERPRISES LTD.
The company operates multiple branches; ATMs; and recyclers in India.,waste_management,Environmental,performance,Waste management or recycling claim,recyclers,0.0,False,unspecified,4,AXIS BANK LTD.
"The company operates through Life Insurance, General Insurance, Windpower, Retail Financing, and Investments and Others segments.",renewable_energy,Environmental,performance,Claim about renewable energy usage,windpower,0.0,False,unspecified,7,BAJAJ FINSERV LTD.
"In addition, the company offers post-paid, prepaid, roaming, internet, and various value-added services, as well as Mobile TV, video calls, live-streaming videos, gaming and buffer-less HD and 4K video streaming, other services; and network integration, data centers, managed services, enterprise mobility applications and digital media services.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,9,BHARTI AIRTEL LTD.
"It also offers active pharmaceutical ingredients; and formulations in various therapeutic areas, such as MI, angina, heart failure, hypertension, arrhythmia, lipid abnormalities and diabetes, obesity, HIV, respiratory, urology, oncology, cardio-metabolism, child health, infectious diseases and critical care, hepatitis, women's health, ophthalmology, and neuro psychiatry.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,11,CIPLA LTD.
"In addition, it offers beneficiated and washed non-coking coal for use in power generation; beneficiated non-coking coal for use in cement, sponge iron, and other industrial plants; and middling products for power generation and by domestic fuel plants, brick manufacturing units, cement plants, industrial plants, etc. Further, the company provides rejects that are used for fluidized bed combustion boilers for power generation, road repairs, briquette making, land filling, etc. Coal India Limited was incorporated in 1973 and is headquartered in Kolkata, India.",env_certification,Environmental,credential,Environmental certification claim,epa,0.2,False,unspecified,12,COAL INDIA LTD.
"The company involved in solar power designing, engineering procurement, and commissioning business.",renewable_energy,Environmental,performance,Claim about renewable energy usage,solar power,0.0,False,unspecified,16,GRASIM INDUSTRIES LTD.
"It offers digital business services, which includes digital consulting, data and AI, application development, maintenance, and modernization, software as a service, automation and integration, and enterprise application; and digital foundation services including digital foundation consulting and workplace, hybrid cloud, cybersecurity, network, intelligent operator, and unified services management services.",data_privacy,Social,performance,Data privacy and security claim,cybersecurity,0.0,False,unspecified,17,HCL TECHNOLOGIES LTD.
"The company serves aerospace and defense, energy and utilities, manufacturing, public sector, telecom, media and entertainment, captive business services, technology, mining and natural resources, retail, consumer goods, life sciences and healthcare, oil and gas, banking, insurance, capital markets, fintech, and financial crime compliance and risk, as well as travel, transport, logistics, and hospitality industries.",ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,unspecified,17,HCL TECHNOLOGIES LTD.
"In addition, it offers credit, debit, prepaid, and forex cards; payment and collection, export, import, remittance, bank guarantee, letter of credit, trade, hedging, and merchant and cash management services; insurance and investment products.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,18,HDFC BANK LTD.
"Further, the company provides short term finance, bill discounting, structured finance, export credit, loan repayment, and documents collection services; online and wholesale, mobile, and phone banking services; unified payment interface, immediate payment, national electronic funds transfer, and real time gross settlement services; and channel financing, vendor financing, reimbursement account, money market, derivatives, employee trusts, cash surplus corporates, tax payment, and bankers to rights/public issue services, as well as financial solutions for supply chain partners and agricultural customers.",env_certification,Environmental,credential,Environmental certification claim,epa,0.2,True,unspecified,18,HDFC BANK LTD.
"It also provides home, car, two-wheeler, personal, gold, and commercial business loans, as well as loans against securities and other loans; business loans, including working capital finance, term loans, collateral free loans, loans without financials, finance for importers and exporters, and overdraft facilities, as well as loans for new entities and card swipes; and credit, debit, prepaid, travel, forex, and corporate cards.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,23,ICICI BANK LTD.
"In addition, it offers virgin, recycled, barrier, biodegradable barrier, solid, and graphic boards, as well as specialty papers; and packaging products, such as carton board, flexible, tobacco, and green packaging products; and exports feed ingredients, food grains, marine products, processed fruits, coffee products, leaf tobacco products, and spices.",waste_management,Environmental,performance,Waste management or recycling claim,recycled,0.0,False,unspecified,24,ITC LTD.
"It provides digital marketing and digital workplace, digital commerce, digital experience and interactions, metaverse, data analytics and AI, applied AI, generative AI, sustainability, blockchain, engineering, Internet of Things, enterprise agile DevOps, application modernization, cloud, digital process automation, digital supply chain, Microsoft business application and cloud business, service experience transformation, energy transition, cyber security, and quality engineering solutions; Oracle, SAP, and Saleforce solutions; API economy and microservices; and Topaz, an AI-first set of services, solutions, and platforms using generative AI technologies.",data_privacy,Social,performance,Data privacy and security claim,cyber security,0.0,False,unspecified,26,INFOSYS LTD.
"It serves aerospace and defense, agriculture, automotive, chemical manufacturing, communication, consumer packaged goods, education, engineering procurement and construction, healthcare, high technology, industrial manufacturing, information services and publishing, insurance, life science, logistics and distribution, media, entertainment, mining, oil and gas, private equity, professional, public, retail, travel, hospitality, utilities, and waste management industries.",waste_management,Environmental,performance,Waste management or recycling claim,waste manag,0.2,True,unspecified,26,INFOSYS LTD.
"The company is also involved in trades in steel and allied products, iron ore, steel, cement, paint, and other products; logistic infrastructure, real estate, mining, and coal loading; manufactures forged steel ball, slabs and hot rolled coils, plates, pipes, and double jointing; production of gaseous and liquid form of oxygen, nitrogen, argon, and other products recoverable from separation of air; and operates coke oven and pellet plant, and steel plant.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,27,JSW STEEL LTD.
"It also provides Investment products; life, term, health, car, and two wheeler insurance; payment services; trade services; business management and marketing, enterprise resource planning, supply chain and logistics, human resource, business travel, workspace management, taxation and legal, and healthcare/medical equipment services; cash management services, such as digital payments, physical collections, digital collections, prepaid cards, and payment gateways; private banking services; net banking; and NRI services.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,28,KOTAK MAHINDRA BANK LTD.
"It offers cloud and infrastructure services, consulting, cyber security, data and insights, digital engineering, disruptive SaaS, enterprise application, platform operation, RPA, and testing services.",data_privacy,Social,performance,Data privacy and security claim,cyber security,0.0,False,unspecified,29,LTIMINDTREE LTD.
"The Infrastructure segment engineers and constructs building and factories, transportation infrastructure, heavy civil infrastructure, power transmission and distribution, water and effluent treatment, and minerals, and metals.",water_conservation,Environmental,performance,Water conservation or efficiency claim,water and effluent treatment,0.0,False,unspecified,30,LARSEN & TOUBRO LTD.
"This segment also designs, constructs, and repairs/refits defense vessels.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,30,LARSEN & TOUBRO LTD.
"It is also involved in the provision of farm equipment, including tractors; and manufacture and distribute the SMART Seeder Mini-MAX in collaboration with Clean Seed Capital Group ltd., as well as engages in renewable energy business.",renewable_energy,Environmental,performance,Claim about renewable energy usage,renewable energy,0.0,False,unspecified,31,MAHINDRA & MAHINDRA LTD.
"The company generates power from coal, gas, liquid fuel, hydro, solar, nuclear, wind, thermal, and renewable energy sources.",renewable_energy,Environmental,performance,Claim about renewable energy usage,"wind, thermal, and renewable energy",0.0,False,unspecified,33,NTPC LTD.
"It provides milk products and nutrition, including dairy whitener, condensed and UHT milk, yoghurt, maternal and infant formula, baby food, and health care nutrition products; prepared dishes and cooking aids, such as noodles, sauces, seasonings, pasta, cereals, and pet foods; powdered and liquid beverages comprising instant coffee and tea, as well as ready to drink beverages; and confectionery products consisting of bar countlines, tablets, and sugar confectionery products.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,34,NESTLE INDIA LTD.
"In addition, it generates wind power through a total installed capacity of 153 MW; and solar power through a total installed capacity of 36.52 MW, as well as generates geothermal power.",renewable_energy,Environmental,performance,Claim about renewable energy usage,wind power,0.15,False,unspecified,35,OIL & NATURAL GAS CORPORATION LTD.
"It provides consultancy services, including power system planning and techno-economic feasibility studies; environmental and social impact assessment; design and engineering; procurement assistance; project management and construction supervision; asset management; and other services, such as owners' and lenders' engineer service; grid code and tariff mechanisms preparation; legal and technical advisory; and market analysis advisory services, as well as renewable energy certificate mechanism implementation.",renewable_energy,Environmental,performance,Claim about renewable energy usage,renewable energy,0.2,True,unspecified,36,POWER GRID CORPORATION OF INDIA LTD.
"It also provides business loans; and working capital loans, including tyre, tax, fuel, and toll finance, as well as vehicle insurance and repair/top-up loans; and fixed and recurring deposits.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,39,SHRIRAM FINANCE LTD.
"In addition, the company offers cloud, cognitive business, consulting, cybersecurity, data and analytics, enterprise solutions, Internet of Things and digital engineering, TCS interactive, and sustainability services.",data_privacy,Social,performance,Data privacy and security claim,cybersecurity,0.0,False,unspecified,42,TATA CONSULTANCY SERVICES LTD.
"The company also provides experience design, testing, performance engineering, oracle, artificial intelligence, digital supply chain, business process, business excellence, telecom product engineering, cyber security, and intelligent automation services and solutions.",data_privacy,Social,performance,Data privacy and security claim,cyber security,0.0,False,unspecified,46,TECH MAHINDRA LTD.
"The company provides Tile Adhesive polymer under TILEFIXO, FLEX, HIFLEX; Seal & Dry water proofing products for kitchen balconies, chajjas, slope roofs, bathrooms, canal linings, swimming pools, and water tanks; Power Grout, an industrial grout for machine foundation, precast elements, and safety vaults; Readi Plast and Super Stucco, a plastering agent for internal and external walls; as well as liquid system for mortar and concrete modifier, repair mortars and concrete under the name of Basekrete and Microkrete.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,48,ULTRATECH CEMENT LTD.
"Further, the company offers construction products for home builders; and value-added services that include technical advice during concreting, vaastu consultancy, various training programs, and other related services.",employee_development,Social,performance,Employee training and development claim,training program,0.0,False,unspecified,48,ULTRATECH CEMENT LTD.
